id,book_id,best_book_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,work_ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
1,2767052,2767052,272,439023483,9.78E+12,Suzanne Collins,2008,The Hunger Games,eng,4.34,4780653,4942365,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,3,3,491,439554934,9.78E+12,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4.44,4602479,4800065,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
3,41865,41865,226,316015849,9.78E+12,Stephenie Meyer,2005,Twilight,en-US,3.57,3866839,3916824,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
4,2657,2657,487,61120081,9.78E+12,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,3340896,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,4671,4671,1356,743273567,9.78E+12,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,2773745,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,11870085,11870085,226,525478817,9.78E+12,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,2478609,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,5907,5907,969,618260307,9.78E+12,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,2071616,2196809,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,5107,5107,360,316769177,9.78E+12,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,2120637,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,960,960,311,1416524797,9.78E+12,Dan Brown,2000,Angels & Demons ,en-CA,3.85,2001311,2078754,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
10,1885,1885,3455,679783261,9.78E+12,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490,2191465,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg
